,gt_code,level,refactor_code,rationale,eslint_count_original,eslint_count_refactored,closure_count_original,closure_count_refactored,test_cases,closure_optimized_code,runtimeOriginal,runtimeOptimized,runtimeRefactored,numOptimizedCorrect,numRefactoredCorrect,total
0,"var createHelloWorld = function() { 
    return function() {
        return ""Hello World"";
    }
}",Easy,function createHelloWorld() { return function() { return 'Hello World'; }; },The createHelloWorld function returns a new function that always returns 'Hello World'. This is achieved by defining a nested function within createHelloWorld and returning it. The nested function takes no arguments and simply returns 'Hello World'.,4,3,5,2,"{""functionOrClassName"": ""createHelloWorld"", ""tests"": [""createHelloWorld()()"", ""(() => {const a = createHelloWorld(); return a();})()"", ""(() => {const a = createHelloWorld; return a()();})()"", ""(() => {let f = createHelloWorld(); return f();})()"", ""(() => {let a = createHelloWorld; let b = a(); return b();})()"", ""(() => {const a = createHelloWorld(); const b = a; return b();})()"", ""(() => {const f = createHelloWorld(); return f();})()"", ""(() => {let f = createHelloWorld; return f()();})()"", ""(() => {const a = createHelloWorld(); const b = a(); return b();})()"", ""(() => {let a = createHelloWorld(); let b = a; return b()();})()"", ""(() => {let f = createHelloWorld(); let g = f(); return g();})()""]}","let createHelloWorld=function(){return function(){return""Hello World""}};
",0.28829199999999844,0.1594999999999942,0.15595799999999826,11,11,11
1,"var createCounter = function(init) {
  let presentCount = init;

  function increment() {
    return ++presentCount;
  }

  function decrement() {
      return --presentCount;
  }

  function reset() {
      return (presentCount = init);
  }

  return { increment, decrement, reset };
};",Easy,"var createCounter = function(init) {
  if (typeof init !== 'number') {
    throw new Error('init must be a number');
  }
  let count = init;
  return {
    increment: function() {
      count += 1;
      return count;
    },
    decrement: function() {
      count -= 1;
      return count;
    },
    reset: function() {
      count = init;
      return count;
    }
  };
};","The code defines a function createCounter that takes an integer as input and returns an object with three methods: increment, decrement, and reset. The increment method increases the count by 1, the decrement method decreases the count by 1, and the reset method sets the count back to the initial value. Error handling is implemented to ensure that the input is a number. The code follows modern JavaScript syntax and best practices for code organization and readability.",9,12,3,3,"{""functionOrClassName"": ""createCounter"", ""tests"": [""createCounter(5).increment()"", ""createCounter(5).decrement()"", ""createCounter(5).reset()"", ""createCounter(0).increment()"", ""createCounter(0).decrement()"", ""createCounter(0).reset()"", ""createCounter(-5).increment()"", ""createCounter(-5).decrement()"", ""createCounter(-5).reset()"", ""createCounter(100).increment()"", ""createCounter(100).decrement()"", ""createCounter(100).reset()"", ""(() => {const counter = createCounter(5); counter.increment(); counter.decrement(); return counter.reset();})()"", ""(() => {const counter = createCounter(0); counter.increment(); counter.increment(); return counter.reset();})()"", ""(() => {const counter = createCounter(-5); counter.decrement(); counter.decrement(); return counter.reset();})()"", ""(() => {const counter = createCounter(10); for (let i = 0; i < 5; i++) counter.increment(); return counter.reset();})()"", ""(() => {const counter = createCounter(20); for (let i = 0; i < 5; i++) counter.decrement(); return counter.reset();})()""]}","let createCounter=function(b){let a=b;return{h:function(){return++a},g:function(){return--a},reset:function(){return a=b}}};
",0.27016600000000324,0.43566699999999514,0.42020899999999983,4,17,17
2,"var map = function(arr, fn) {
    const transformedArr = [];
    arr.forEach((element, index) => {
      transformedArr[index] = fn(element, index);
    });
    return transformedArr;
  };",Easy,"var map = function(arr, fn) {
  if (!Array.isArray(arr)) {
    throw new Error('First argument must be an array');
  }
  if (typeof fn !== 'function') {
    throw new Error('Second argument must be a function');
  }
  const result = [];
  for (let i = 0; i < arr.length; i++) {
    result[i] = fn(arr[i], i);
  }
  return result;
};","The code defines a function named 'map' that takes two arguments: an array 'arr' and a function 'fn'. It first checks if 'arr' is an array and 'fn' is a function, throwing an error if either condition is not met. Then, it initializes an empty array 'result' to store the transformed elements. It loops through each element in 'arr', applies the transformation function 'fn' to each element with its index, and stores the result in 'result'. Finally, it returns the transformed array 'result'.",3,5,3,3,"{""functionOrClassName"": ""map"", ""tests"": [""map([1, 2, 3], (x) => x * 2)"", ""map([1, 2, 3], (x, i) => x + i)"", ""map([], (x) => x * 2)"", ""map([1, 2, 3], (x) => x.toString())"", ""map([1, 2, 3], (x) => x % 2 === 0 ? 'even' : 'odd')"", ""map([1, 2, 3, 4, 5], (x) => x * x)"", ""map([1.1, 2.2, 3.3], (x) => Math.floor(x))"", ""map(['a', 'b', 'c'], (x) => x.toUpperCase())"", ""map([true, false, true], (x) => !x)"", ""map([null, undefined, null], (x) => x === null ? 'null' : 'undefined')"", ""map([{a: 1}, {a: 2}], (x) => x.a)"", ""(() => {const arr = [1, 2, 3]; return map(arr, (x) => arr[x - 1] * 2);})()"", ""(() => {const fn = (x) => x * 2; return map([1, 2, 3], fn);})()""]}","let map=function(c,d){const a=[];c.forEach((e,b)=>{a[b]=d(e,b)});return a};
",0.3492920000000055,0.2581660000000028,0.6815419999999932,13,13,13
3,"var filter = function(arr, fn) {
  const result = [];
  for (let i = 0; i < arr.length; i++) {
    if (fn(arr[i], i)) {
      result.push(arr[i]);
    }
  }
  return result;
};",Easy,"var filter = function(arr, fn) {
  if (!Array.isArray(arr)) {
    throw new Error('First argument must be an array');
  }
  if (typeof fn !== 'function') {
    throw new Error('Second argument must be a function');
  }
  const filteredArr = [];
  for (let i = 0; i < arr.length; i++) {
    if (fn(arr[i], i)) {
      filteredArr.push(arr[i]);
    }
  }
  return filteredArr;
};","The code defines a function named 'filter' that takes two arguments: an array 'arr' and a function 'fn'. It first checks if 'arr' is an array and 'fn' is a function, throwing an error if either condition is not met. Then, it initializes an empty array 'filteredArr' to store the filtered elements. It loops through 'arr' and checks if 'fn' returns a truthy value for each element. If it does, the element is added to 'filteredArr'. Finally, it returns 'filteredArr'. This implementation follows best practices for code organization and readability, and it uses modern JavaScript syntax.",5,5,3,3,"{""functionOrClassName"": ""filter"", ""tests"": [""filter([1, 2, 3], (x) => x > 1)"", ""filter([1, 2, 3], (x) => x > 0)"", ""filter([1, 2, 3], (x, i) => i > 0)"", ""filter([1, 2, 3], (x, i) => x > i)"", ""filter([1, 2, 3, 4, 5], (x) => x % 2 === 0)"", ""filter([1, 2, 3, 4, 5], (x) => x % 2 !== 0)"", ""filter([1, 2, 3, 4, 5], (x, i) => i % 2 === 0)"", ""filter([1, 2, 3, 4, 5], (x, i) => x % 2 === 0 && i % 2 === 0)"", ""filter([], (x) => x > 0)"", ""filter([null, undefined, 0, 1, 2], (x) => x)"", ""filter([1, 2, 3], (x) => {let remainder = x%3; return remainder === 0;})"", ""filter([1, 2, 3, 4, 5, 6], (x) => {let remainder = x%3; return remainder === 0;})""]}","let filter=function(b,d){const c=[];for(let a=0;a<b.length;a++)d(b[a],a)&&c.push(b[a]);return c};
",0.2644999999999982,0.21270800000000634,0.37254099999999823,12,12,12
4,"/**
 * @param {number[]} nums
 * @param {Function} fn
 * @param {number} init
 * @return {number}
 */
var reduce = function(nums, fn, init) {
  let val = init;
  for (let i = 0; i < nums.length; i++) {
    val = fn(val, nums[i]);
  }
  return val;
};",Easy,"function reduce(nums, fn, init) {
      if (!Array.isArray(nums)) {
        throw new Error('nums must be an array');
      }
      if (typeof fn !== 'function') {
        throw new Error('fn must be a function');
      }
      if (nums.length === 0) {
        return init;
      }
      let result = init;
      for (let i = 0; i < nums.length; i++) {
        result = fn(result, nums[i]);
      }
      return result;
    }","The code defines a function 'reduce' that takes an array 'nums', a function 'fn', and an initial value 'init' as arguments. It first checks if 'nums' is an array and 'fn' is a function, throwing errors if not. If 'nums' is empty, it returns 'init'. Then, it iterates over 'nums', applying 'fn' to 'result' and each element of 'nums' in sequence, and finally returns 'result'. This implementation follows best practices for code organization and readability, and uses modern JavaScript syntax.",5,5,6,2,"{""functionOrClassName"": ""reduce"", ""tests"": [""reduce([1,2,3,4], (a,b) => a + b, 0)"", ""reduce([1,2,3,4], (a,b) => a * b, 1)"", ""reduce([1,2,3,4], (a,b) => a - b, 0)"", ""reduce([], (a,b) => a + b, 0)"", ""reduce([5], (a,b) => 2 * a + b, 2)"", ""reduce([1,2,3,4], (a,b) => Math.max(a,b), -Infinity)"", ""reduce([1,2,3,4], (a,b) => Math.min(a,b), Infinity)"", ""reduce([1,2,3,4,5,6,7,8,9,10], (a,b) => a + b, 100)"", ""reduce([1,2,3,4], (a,b) => a.toString() + b.toString(), \""\"")"", ""reduce([1,2,3,4], (a,b) => a + b, 5)"", ""reduce([1,2,3,4], (a,b) => {if (a > b) {return a;} else {return b;}}, 0)""]}","let reduce=function(c,d,a){for(let b=0;b<c.length;b++)a=d(a,c[b]);return a};
",0.25370900000000063,0.1911659999999955,0.2061250000000001,11,11,11
5,"/**
 * @param {Function} fn
 * @param {number} t
 * @return {Function}
 */
var timeLimit = function(fn, t) {
  return async function(...args) {
    return new Promise((delayresolve, reject) => {
      const timeoutId = setTimeout(() => {
        clearTimeout(timeoutId);
        reject(""Time Limit Exceeded"");
      }, t);

      fn(...args)
        .then((result) => {
          clearTimeout(timeoutId);
          delayresolve(result);
        })
        .catch((error) => {
          clearTimeout(timeoutId);
          reject(error);
        });
    });
  };
};

/**
 * const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 100);
 * limited(150).catch(console.log) // ""Time Limit Exceeded"" at t=100ms
 */",Medium,"var timeLimit = function(fn, t) {
    return async function(...args) {
        let timeoutId = setTimeout(() => {
            throw new Error('Time Limit Exceeded');
        }, t);
        try {
            const result = await fn(...args);
            return result;
        } catch (error) {
            throw error;
        } finally {
            clearTimeout(timeoutId);
        }
    };
};","This code defines a function called 'timeLimit' that takes another function 'fn' and a time limit 't' in milliseconds. It returns a new function that wraps the input function 'fn' with a timeout. If 'fn' completes within the time limit, the new function resolves with the result. If the execution of 'fn' exceeds the time limit, the new function rejects with the string 'Time Limit Exceeded'. The timeout is cleared in the finally block to ensure it is removed regardless of whether the function completes successfully or times out.",12,9,4,3,"{""functionOrClassName"": ""timeLimit"", ""tests"": [""(() => {const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 100); return limited(50);})()"", ""(() => {const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 100); return limited(150).catch(err => err);})()"", ""(() => {const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 100); return limited(100).catch(err => err);})()"", ""(() => {const limited = timeLimit((t) => new Promise(res => setTimeout(res, 0)), 100); return limited(50);})()"", ""(() => {const limited = timeLimit((t) => new Promise((res, rej) => setTimeout(() => rej('Error'), t)), 100); return limited(50).catch(err => err);})()"", ""(() => {const limited = timeLimit((t) => new Promise((res, rej) => setTimeout(() => rej('Error'), t)), 100); return limited(150).catch(err => err);})()"", ""(() => {const limited = timeLimit((t) => {throw 'Error'}, 100); return limited(50).catch(err => err);})()"", ""(() => {const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 0); return limited(50).catch(err => err);})()"", ""(() => {const limited = timeLimit((t) => new Promise(res => setTimeout(res, t)), 1000); return limited(50);})()"", ""(() => {const limited = timeLimit(async (t) => {await new Promise(res => setTimeout(res, t)); return t;}, 100); return limited(50);})()"", ""(() => {const limited = timeLimit(async (t) => {await new Promise(res => setTimeout(res, t)); return t;}, 100); return limited(150).catch(err => err);})()"", ""(() => {const limited = timeLimit(async (t) => {await new Promise((res, rej) => setTimeout(() => rej('Error'), t)); return t;}, 100); return limited(50).catch(err => err);})()"", ""(() => {const limited = timeLimit(async (t) => {await new Promise((res, rej) => setTimeout(() => rej('Error'), t)); return t;}, 100); return limited(150).catch(err => err);})()"", ""(() => {const limited = timeLimit((t) => new Promise(res => setTimeout(() => res(t), t)), 100); return limited(50);})()""]}","let timeLimit=function(d,e){return async function(...f){return new Promise((g,c)=>{const a=setTimeout(()=>{clearTimeout(a);c(""Time Limit Exceeded"")},e);d(...f).then(b=>{clearTimeout(a);g(b)}).catch(b=>{clearTimeout(a);c(b)})})}};
",1.6301249999999925,0.5204579999999908,0.5997500000000002,0,0,14
6,"const TimeLimitedCache = function() {
    this.cache = new Map();  // Using Map so we don't need a size variable
};

TimeLimitedCache.prototype.set = function(key, value, duration) {
    let found = this.cache.has(key);
    if (found) clearTimeout(this.cache.get(key).ref);  // Cancel previous timeout
    this.cache.set(key, {
        value,  // Equivalent to `value: value`
        ref: setTimeout(() => this.cache.delete(key), duration)
    });
    return found;
};

TimeLimitedCache.prototype.get = function(key) {
    return this.cache.has(key) ? this.cache.get(key).value : -1;
};

TimeLimitedCache.prototype.count = function() {
    return this.cache.size;
};",Medium,"var TimeLimitedCache = function() {
  this.cache = {};
  this.expirations = {};
};

TimeLimitedCache.prototype.set = function(key, value, duration) {
  if (this.expirations[key] && this.expirations[key] > Date.now()) {
    return false;
  }
  this.cache[key] = value;
  this.expirations[key] = Date.now() + duration;
  return true;
};

TimeLimitedCache.prototype.get = function(key) {
  if (this.expirations[key] && this.expirations[key] > Date.now()) {
    return this.cache[key];
  }
  return -1;
};

TimeLimitedCache.prototype.count = function() {
  let count = 0;
  for (let key in this.expirations) {
    if (this.expirations[key] > Date.now()) {
      count++;
    }
  }
  return count;
};","The provided JavaScript code defines a TimeLimitedCache class with methods for setting, getting, and counting un-expired key-value pairs. It uses an object to store the cache and another object to track the expiration times of each key. The set method checks if a key is already un-expired before setting its value and expiration time. The get method returns the value of an un-expired key or -1 if the key has expired. The count method iterates through the expirations object to count the number of un-expired keys.",14,8,6,8,"{""functionOrClassName"": ""TimeLimitedCache"", ""tests"": [""(() => {const cache = new TimeLimitedCache(); return cache.set(1, 1, 1000);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); return cache.get(1);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); return cache.count();})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); cache.set(1, 2, 1000); return cache.get(1);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); setTimeout(() => { return cache.get(1); }, 2000);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); cache.set(2, 2, 2000); return cache.count();})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); cache.set(2, 2, 2000); cache.set(1, 10, 1000); return cache.get(1);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); return cache.get(2);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 0); return cache.get(1);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); cache.set(2, 2, 2000); cache.set(3, 3, 3000); return cache.count();})()"", ""(() => {const cache = new TimeLimitedCache(); return cache.get(1);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); cache.set(1, 1, 1000); return cache.count();})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); setTimeout(() => { return cache.count(); }, 2000);})()"", ""(() => {const cache = new TimeLimitedCache(); cache.set(1, 1, 1000); cache.set(2, 2, 1000); setTimeout(() => { return cache.count(); }, 2000);})()""]}","function b(){this.cache=new Map}b.prototype.set=function(a,d,e){let c=this.cache.has(a);c&&clearTimeout(this.cache.get(a).g);this.cache.set(a,{value:d,g:setTimeout(()=>this.cache.delete(a),e)});return c};b.prototype.get=function(a){return this.cache.has(a)?this.cache.get(a).value:-1};b.prototype.count=function(){return this.cache.size};let TimeLimitedCache=b;
",1.7085000000000008,0.30366599999999266,0.535624999999996,14,10,14
7,"var debounce = function(fn, t) {
    let id;
        return function (...args) {
                clearTimeout(id);
                id = setTimeout(() => fn(...args), t);
        }
};",Medium,"var debounce = function(fn, t) {
    let timeout = null;
    return function(...args) {
        if (timeout) {
            clearTimeout(timeout);
        }
        timeout = setTimeout(() => {
            fn(...args);
        }, t);
    }
};","This code defines a debounce function that takes a function 'fn' and a time 't' in milliseconds as arguments. It returns a new function that, when called, cancels any existing timeout and sets a new one with the provided time. If the returned function is called again before the timeout expires, the timeout is cleared and a new one is set, effectively debouncing the function execution. This implementation uses modern JavaScript syntax and follows best practices for code organization and readability.",8,7,4,4,"{""functionOrClassName"": ""debounce"", ""tests"": [""debounce(() => 1, 100)()"", ""debounce(() => {console.log(2); return 3;}, 200)()"", ""debounce((a, b) => a + b, 100)(1, 2)"", ""debounce(function(a, b) {return this.c + a + b;}, 200).bind({c: 5})(10, 20)"", ""(() => {let f = debounce((a, b) => a + b, 150); f(1, 2); return f(3, 4);})()"", ""(() => {let f = debounce((a, b) => a + b, 50); f(1, 2); return f(3, 4);})()"", ""(() => {let f = debounce((a) => a * 2, 50); return f(5);})()"", ""(() => {let f = debounce((a) => {let ret = 0; for (let i = 0; i < a; ++i) ret += i; return ret;}, 200); return f(5);})()"", ""(() => {let f = debounce((...args) => args.reduce((a, b) => a + b, 0), 100); return f(1, 2, 3, 4, 5);})()"", ""(() => {let f = debounce(async (a, b) => await Promise.resolve(a + b), 100); return f(1, 2);})()"", ""(() => {let f = debounce((a, b) => new Promise((resolve, reject) => {setTimeout(() => {resolve(a + b);}, 200);}), 100); return f(1, 2);})()"", ""(() => {let f = debounce((a, b) => a + b, 0); return f(1, 2);})()"", ""(() => {let f = debounce((a, b) => a + b, -1); return f(1, 2);})()"", ""(() => {let f = debounce((a, b) => a + b, -100); return f(1, 2);})()"", ""(() => {let f = debounce((a, b) => a + b, Infinity); return f(1, 2);})()"", ""(() => {let f = debounce((a, b) => a + b, NaN); return f(1, 2);})()""]}","let debounce=function(b,c){let a;return function(...d){clearTimeout(a);a=setTimeout(()=>b(...d),c)}};
",-1,-1,-1,-1,-1,-1
8,"var promiseAll = async function(functions) {
    return new Promise((resolve, reject) => {
        let results = [];
        functions.forEach(fn => {
            fn()
            .then(val => results.push(val))
            .catch(reason => reject(reason));
        });
        resolve(results);
    })};

var promiseAll = async function(functions) {
    return new Promise((resolve,reject)=>{
        if(functions.length === 0) {
            resolve([]);
            return;
        }
        const arr=new Array(functions.length);
        arr.fill(null);
        let count=0
        functions.forEach(async(fn,i)=>{
            try{
                arr[i]=await fn()
                count++
            
                if(count===functions.length){
                    resolve(arr);
                }
            }
            catch(e){
                reject(e);
            }
        
        });
    });
};",Medium,"var promiseAll = function(functions) {
  return new Promise((resolve, reject) => {
    const results = [];
    let count = 0;
    for (let i = 0; i < functions.length; i++) {
      functions[i]().then((result) => {
        results[i] = result;
        count++;
        if (count === functions.length) {
          resolve(results);
        }
      }).catch((error) => {
        reject(error);
      });
    }
  });
};","This code defines a function called 'promiseAll' that takes an array of asynchronous functions as input. It initializes a new Promise and sets up a loop to execute each function in the array in parallel. Each function's promise is handled with 'then' and 'catch' methods. When all functions have resolved, the Promise resolves with an array of results. If any function rejects, the Promise rejects with the first encountered error.",14,7,11,3,"{""functionOrClassName"": ""promiseAll"", ""tests"": [""promiseAll([])"", ""promiseAll([async () => 1])"", ""promiseAll([async () => 1, async () => 2, async () => 3])"", ""promiseAll([async () => Promise.resolve(1), async () => Promise.resolve(2)])"", ""promiseAll([async () => Promise.reject('Error')])"", ""promiseAll([async () => 1, async () => Promise.reject('Error'), async () => 3])"", ""promiseAll([async () => {throw new Error('Error')}])"", ""promiseAll([async () => 1, async () => {throw new Error('Error')}, async () => 3])"", ""promiseAll([async () => new Promise(resolve => setTimeout(() => resolve(1), 100)), async () => 2])"", ""promiseAll([async () => new Promise(resolve => setTimeout(() => resolve(1), 100)), async () => new Promise((resolve, reject) => setTimeout(() => reject('Error'), 50))])"", ""promiseAll([async () => Promise.resolve(1), async () => Promise.resolve(2), async () => Promise.resolve(3), async () => Promise.resolve(4), async () => Promise.resolve(5)])"", ""promiseAll([async () => 1, async () => 2, async () => 3, async () => 4, async () => 5, async () => Promise.reject('Error')])"", ""promiseAll([async () => 'a', async () => 'b', async () => 'c'])"", ""promiseAll([async () => { const obj = { key: 'value' }; return obj; }])""]}",,1.1794160000000034,0.35550000000000637,0.8854579999999999,0,0,14
9,"class EventEmitter {
  constructor() {
    this.events = new Map();
  }

  subscribe(event, cb) {
    if (!this.events.has(event)) {
      this.events.set(event, []);
    }

    const listeners = this.events.get(event);
    listeners.push(cb);

    return {
      unsubscribe: () => {
        const index = listeners.indexOf(cb);
        if (index !== -1) {
          listeners.splice(index, 1);
        }
      }
    };
  }

  emit(event, args = []) {
    if (!this.events.has(event)) {
      return [];
    }

    const listeners = this.events.get(event);
    const results = [];

    for (const listener of listeners) {
      results.push(listener(...args));
    }

    return results;
  }
}",Medium,"var promiseAll = function(functions) {
  return new Promise((resolve, reject) => {
    const results = [];
    let count = 0;
    for (let i = 0; i < functions.length; i++) {
      functions[i]().then((result) => {
        results[i] = result;
        count++;
        if (count === functions.length) {
          resolve(results);
        }
      }).catch((error) => {
        reject(error);
      });
    }
  });
};","This code defines a function called 'promiseAll' that takes an array of asynchronous functions as input. It initializes a new Promise and sets up a loop to execute each function in the array in parallel. Each function's promise is handled with 'then' and 'catch' methods. When all functions have resolved, the Promise resolves with an array of results. If any function rejects, the Promise rejects with the first encountered error.",4,7,3,3,"{""functionOrClassName"": ""EventEmitter"", ""tests"": [""new EventEmitter()"", ""(() => {const emitter = new EventEmitter(); return emitter.subscribe('event1', () => {});})()"", ""(() => {const emitter = new EventEmitter(); return emitter.emit('event1');})()"", ""(() => {const emitter = new EventEmitter(); emitter.subscribe('event1', () => {}); return emitter.emit('event1');})()"", ""(() => {const emitter = new EventEmitter(); emitter.subscribe('event1', (a, b) => a + b); return emitter.emit('event1', [1, 2]);})()"", ""(() => {const emitter = new EventEmitter(); const sub1 = emitter.subscribe('event1', () => 1); const sub2 = emitter.subscribe('event1', () => 2); return emitter.emit('event1');})()"", ""(() => {const emitter = new EventEmitter(); const sub = emitter.subscribe('event1', () => {}); sub.unsubscribe(); return emitter.emit('event1');})()"", ""(() => {const emitter = new EventEmitter(); const sub1 = emitter.subscribe('event1', () => 1); const sub2 = emitter.subscribe('event1', () => 2); sub1.unsubscribe(); return emitter.emit('event1');})()"", ""(() => {const emitter = new EventEmitter(); emitter.subscribe('event1', () => {}); return emitter.emit('event2');})()"", ""(() => {const emitter = new EventEmitter(); const sub = emitter.subscribe('event1', () => {}); sub.unsubscribe(); sub.unsubscribe(); return emitter.emit('event1');})()"", ""(() => {const emitter = new EventEmitter(); const sub = emitter.subscribe('event1', () => {throw new Error('test error');}); return emitter.emit('event1');})()"", ""(() => {const emitter = new EventEmitter(); emitter.subscribe('event1', (a) => a); emitter.subscribe('event2', (a, b) => a + b); return emitter.emit('event1', [1]);})()"", ""(() => {const emitter = new EventEmitter(); emitter.subscribe('event1', (a) => a); emitter.subscribe('event2', (a, b) => a + b); return emitter.emit('event2', [1, 2]);})()""]}","class a{}let EventEmitter=a;
",0.4702079999999995,0.3530409999999904,0.24450000000000216,1,1,13
